336
0,1.011494,4.400000,78
1,1.116279,3.310345,82
2,1.188235,3.060606,82
3,1.235294,2.763158,85
4,1.297619,2.595238,88
5,1.361446,2.404255,91
6,1.397590,2.274510,91
7,1.469136,2.163636,93
8,1.537500,2.050000,94
9,1.602564,1.953125,96
10,1.662338,1.882353,96
11,1.733333,1.805556,97
12,1.808219,1.760000,98
13,1.914286,1.696203,98
14,2.000000,1.638554,99
15,2.059701,1.586207,100
16,1.025974,4.514286,139
17,1.083871,3.818182,147
18,1.108974,3.530612,149
19,1.141026,3.296296,153
20,1.173077,3.101695,155
21,1.205128,2.984127,158
22,1.229299,2.838235,158
23,1.254777,2.698630,157
24,1.270440,2.623377,162
25,1.312102,2.512195,164
26,1.320755,2.441860,169
27,1.365385,2.366667,171
28,1.391026,2.308511,172
29,1.419355,2.222222,174
30,1.435897,2.196079,176
31,1.474026,2.141510,178
32,1.503268,2.072072,180
33,1.532895,2.043860,181
34,1.566667,1.991525,179
35,1.590604,1.942623,182
36,1.632653,1.904762,184
37,1.657534,1.875969,183
38,1.694444,1.834587,184
39,1.725352,1.801471,183
40,1.764286,1.764286,185
41,1.804348,1.741259,185
42,1.838235,1.700680,183
43,1.887218,1.673333,186
44,1.923664,1.647059,188
45,1.976562,1.621795,187
46,2.024000,1.591195,186
47,2.073171,1.574074,183
48,1.057143,4.465517,222
49,1.089069,4.014925,219
50,1.104418,3.819444,252
51,1.122530,3.641026,254
52,1.141732,3.493976,256
53,1.151751,3.363636,263
54,1.170543,3.247312,266
55,1.189189,3.142857,267
56,1.203065,3.078431,274
57,1.216730,2.990654,276
58,1.231061,2.901786,277
59,1.244361,2.853448,280
60,1.258427,2.776860,286
61,1.272388,2.728000,289
62,1.286245,2.661538,291
63,1.296296,2.611940,291
64,1.309963,2.553957,300
65,1.323529,2.517483,300
66,1.333333,2.476191,298
67,1.347985,2.437086,300
68,1.357664,2.400000,307
69,1.370909,2.371069,305
70,1.381818,2.331288,308
71,1.396364,2.299401,312
72,1.405797,2.269006,311
73,1.420290,2.240000,316
74,1.431159,2.206704,320
75,1.425000,2.180328,312
76,1.458182,2.155914,323
77,1.471014,2.136842,322
78,1.480000,2.097938,327
79,1.498182,2.091371,325
80,1.507299,2.054726,326
81,1.525548,2.049020,330
82,1.532847,2.019231,332
83,1.542125,1.995261,334
84,1.558824,1.981308,331
85,1.575646,1.967742,336
86,1.581481,1.932127,334
87,1.602230,1.924107,335
88,1.614232,1.898678,338
89,1.625468,1.886957,340
90,1.641509,1.866953,333
91,1.653992,1.843220,336
92,1.669201,1.836820,341
93,1.688462,1.814050,342
94,1.701550,1.791837,342
95,1.719844,1.782258,343
96,1.734375,1.768924,343
97,1.747036,1.740157,342
98,1.772908,1.731518,342
99,1.786290,1.703846,341
100,1.801619,1.692015,343
101,1.823045,1.671698,343
102,1.838843,1.660448,338
103,1.857741,1.644444,341
104,1.881356,1.632353,339
105,1.909871,1.618182,342
106,1.930435,1.602888,336
107,1.955752,1.584229,324
108,1.981982,1.560284,336
109,2.004566,1.545775,337
110,2.037209,1.531469,334
111,2.051643,1.517361,333
112,1.084806,4.449275,313
113,1.113402,4.050000,322
114,1.121622,3.860465,326
115,1.140468,3.747253,328
116,1.148026,3.597938,333
117,1.167213,3.490196,340
118,1.171521,3.383178,340
119,1.189103,3.312500,347
120,1.203175,3.239316,348
121,1.206897,3.130081,355
122,1.217391,3.086614,360
123,1.231481,3.022727,361
124,1.242331,2.956204,368
125,1.251515,2.908451,368
